mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022030202,11.5,8,97.19,20.15,2
2022030184,12.2,11,107.48,8.35,2
2022030172,16.2,13,109.11,14.53,2
2022030167,4.8,3,94.6,2.95,2
2022030165,15.9,9,92.55,12.23,2
2022030164,14.3,10,90.95,10.3,2
2022030155,6.9,5,107.12,8.5,2
2022030152,10.7,8,100.08,12.85,2
2022030145,13.2,9,99.44,10,2
2022030131,7.7,6,104.02,9.32,2
2022030095,11.4,11,96.14,8.18,2
2022030092,18.3,14,106.16,13.62,2
2022030089,14.9,14,100.91,16.37,2
2022030060,8.8,10,102.25,8.45,2
2022030042,6.4,6,94.65,9.95,2
2022030034,17.9,11,107.03,14.77,2
2022030032,14.3,15,94.49,8.53,2
2022030029,11.5,8,102.79,13.23,2
2022030018,14.8,13,99.89,14.48,2
2022030016,12.7,10,99.79,19.57,2
2022030010,10,8,88.63,15.07,2
2022021819,13,7,65.86,8.98,2
2022021810,11.3,10,107.56,17.57,2
2022021773,14.6,16,100.7,18.52,2
